기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2620055000,영도구 영선2동,60대이상,24275742,791
202512,2620058500,영도구 신선동,20대,795452,40
202512,2620058500,영도구 신선동,20대미만,56886,8
202512,2620058500,영도구 신선동,30대,2635018,58
202512,2620058500,영도구 신선동,40대,3127792,90
202512,2620058500,영도구 신선동,50대,4544847,158
202512,2620058500,영도구 신선동,60대이상,8444506,260
202512,2620059000,영도구 봉래1동,20대,12153534,608
202512,2620059000,영도구 봉래1동,20대미만,845942,65
202512,2620059000,영도구 봉래1동,30대,22316396,827
202512,2620059000,영도구 봉래1동,40대,41691559,1090
202512,2620059000,영도구 봉래1동,50대,49199098,1328
202512,2620059000,영도구 봉래1동,60대이상,83301461,2007
202512,2620060500,영도구 봉래2동,20대,1501288,135
202512,2620060500,영도구 봉래2동,20대미만,142162,20
202512,2620060500,영도구 봉래2동,30대,3613706,205
202512,2620060500,영도구 봉래2동,40대,4366077,247
202512,2620060500,영도구 봉래2동,50대,5082480,257
202512,2620060500,영도구 봉래2동,60대이상,6744318,278
202512,2620063000,영도구 청학1동,20대,1349776,90
202512,2620063000,영도구 청학1동,20대미만,110784,14
202512,2620063000,영도구 청학1동,30대,3255195,141
202512,2620063000,영도구 청학1동,40대,4729585,217
202512,2620063000,영도구 청학1동,50대,8193118,295
202512,2620063000,영도구 청학1동,60대이상,18100526,499
202512,2620064000,영도구 청학2동,20대,8268704,469
202512,2620064000,영도구 청학2동,20대미만,510892,51
202512,2620064000,영도구 청학2동,30대,14615497,699
202512,2620064000,영도구 청학2동,40대,22089640,955
202512,2620064000,영도구 청학2동,50대,31731100,1180
202512,2620064000,영도구 청학2동,60대이상,43861004,1642
202512,2620065000,영도구 동삼1동,20대,19891786,1272
202512,2620065000,영도구 동삼1동,20대미만,2407881,230
202512,2620065000,영도구 동삼1동,30대,30240722,1148
202512,2620065000,영도구 동삼1동,40대,56236676,1821
202512,2620065000,영도구 동삼1동,50대,70046739,2452
202512,2620065000,영도구 동삼1동,60대이상,101509965,3259
202512,2620066000,영도구 동삼2동,20대,15152826,1468
202512,2620066000,영도구 동삼2동,20대미만,1488359,203
202512,2620066000,영도구 동삼2동,30대,10364916,474
202512,2620066000,영도구 동삼2동,40대,15141042,689
202512,2620066000,영도구 동삼2동,50대,19054064,933
202512,2620066000,영도구 동삼2동,60대이상,20275916,736
202512,2620067000,영도구 동삼3동,20대,5098805,222
202512,2620067000,영도구 동삼3동,20대미만,423575,30
202512,2620067000,영도구 동삼3동,30대,10707679,364
202512,2620067000,영도구 동삼3동,40대,13394031,472
202512,2620067000,영도구 동삼3동,50대,17724911,670
202512,2620067000,영도구 동삼3동,60대이상,26668192,982
202512,2623051000,부산진구 부전1동,20대,113990604,3807
202512,2623051000,부산진구 부전1동,20대미만,4032811,182
202512,2623051000,부산진구 부전1동,30대,195678995,5167
202512,2623051000,부산진구 부전1동,40대,241565423,5863
202512,2623051000,부산진구 부전1동,50대,356040479,8635
202512,2623051000,부산진구 부전1동,60대이상,865186932,21033
202512,2623052000,부산진구 부전2동,20대,686738578,24775
202512,2623052000,부산진구 부전2동,20대미만,56073693,2998
202512,2623052000,부산진구 부전2동,30대,695621274,15977
202512,2623052000,부산진구 부전2동,40대,612814099,11536
202512,2623052000,부산진구 부전2동,50대,611972598,9736
202512,2623052000,부산진구 부전2동,60대이상,583262260,8237
202512,2623054000,부산진구 연지동,20대,10246430,665
