가맹점명,도로명주소,지번주소,위도,경도,데이터기준일자
준헤어살롱,"부산 부산진구 가야대로 450 ,1층 111호 (개금동,금강펜테리움더스퀘어아파트)",,35.15278557,129.0212737,2024-09-30
국반장,"부산 해운대구 센텀중앙로 145, 2동상가 (재송동,더샵센텀파크1차아파트)101",,35.18045693,129.1202105,2024-09-30
진스헤어,"부산 동래구 안락로 22, 2층 (안락동)",,35.20053289,129.099347,2024-09-30
월드볼링장,"부산 북구 금곡대로 458 .701(금곡동,금곡월드프라자)",,35.24911221,129.0132959,2024-09-30
GS25온천장역점,부산 금정구 식물원로9번길 43 (장전동),,35.22219922,129.0857002,2024-09-30
씨유정관달산점,부산 기장군 정관읍 산단1로 115 ,,35.31768046,129.1800029,2024-09-30
금호불교사,부산 북구 구포만세길 41 1층 101호 (구포동),,35.20438233,128.9952116,2024-09-30
아덴블랑제리부전점,"부산 부산진구 전포대로275번길 65 ,1,2층(전포동)",,35.16299119,129.0639466,2024-09-30
교촌치킨,부산 부산진구 연수로 13-1 1층 (양정동),,35.17370243,129.0728248,2024-09-30
뒷고기랑껍데기,부산 동래구 사직북로28번길 201 (온천동),,35.20534939,129.0667949,2024-09-30
알로하 동물병원,부산 수영구 수영로 602 1층 (광안동),,35.15930737,129.1137077,2024-09-30
하이런당구장,부산 부산진구 새싹로 278 4층 (초읍동),,35.18094704,129.047405,2024-09-30
씨유철마고촌점,부산 기장군 철마면 고촌로 58 102호(고촌LH아파트 상가),,35.23889639,129.1703116,2024-09-30
호박골,부산 해운대구 센텀2로 19 104호 (우동),,35.16743396,129.1325784,2024-09-30
아모레,부산 해운대구 좌동순환로 77 201호 (좌동),,35.17307496,129.1668964,2024-09-30
옛날통닭,부산 북구 구포시장길 56 (구포동),,35.2068065,129.002918,2024-09-30
조성익녹취속기사무소,"부산 연제구 월드컵대로243번길 19 상가 23동 305호 (거제동,동원타워아파트)",,35.18933969,129.0699781,2024-09-30
화명언어심리센터,"부산 북구 화명신도시로 132 602호 (화명동,위너스타워)",,35.23590545,129.0113186,2024-09-30
비젤,"부산 동구 진시장로 24 (범일동,부산진시장)",,35.13642685,129.0588381,2024-09-30
명지 에듀플렉스 심리상담연구소,부산 강서구 명지오션시티4로 70 4층 401호 (명지동),,35.08278311,128.9032507,2024-09-30
금찌,"부산 사상구 광장로 7 ,2148호,2176호(괘법동,르네시떼)",,35.16433176,128.9777197,2024-09-30
정식당,부산 기장군 일광면 이화로 56-6 ,,35.27109626,129.2316758,2024-09-30
더카페반디나무,"부산 부산진구 범일로192번길 26 1,2층",,35.1469049,129.0614872,2024-09-30
이자카야 김상,"부산 북구 만덕대로40번길 17 , 1층 (덕천동)",,35.21035447,129.009837,2024-09-30
하정국수,부산 북구 덕천2길 96 (덕천동),,35.21007011,129.0104266,2024-09-30
컴포즈커피,부산 부산진구 성지로 83 1층 (초읍동),,35.17792889,129.0534594,2024-09-30
화명참숯갈비,"부산 북구 화명신도시로 127 1101호,1102호 (화명동)",,35.23535262,129.0105976,2024-09-30
국제박창용태권도,"부산 남구 석포로 34 상가동 201호 (감만동,국제아파트상가)",,35.12263264,129.0856153,2024-09-30
파스쿠찌 부산대병원점,부산 서구 까치고개로197번길 3 나동 2층 (아미동2가),,35.10018719,129.0171834,2024-09-30
오쇼김밥,"부산 동구 자성로133번길 6 , 104동1101호(범일동,진흥마제스타워)",,35.13737736,129.065566,2024-09-30
베스트,부산 중구 중구로43번길 13-2 (부평동1가),,35.10168979,129.0271174,2024-09-30
동원센타,부산 북구 사상로583번길 39 (구포동),,35.19628985,128.9883704,2024-09-30
동문소아청소년과,"부산 북구 덕천로276번길 60 상가동 3층 312,313호 (백양산굿모닝힐)",,35.20578417,129.0333375,2024-09-30
휴스킨앤바디,"부산 중구 충장대로5번길 12-1 3층 302호 (중앙동4가,코리아빌딩)",,35.10634614,129.0370919,2024-09-30
호림상회,부산 해운대구 윗반송로 68 6호 (반송동),,35.23011864,129.1570358,2024-09-30
백세면옥,부산 북구 용당로5번길 11 1층 (화명동),,35.23101472,129.0097858,2024-09-30
청송상회,부산 남구 못골로 74 (대연동),,35.13590371,129.0903455,2024-09-30
디아수학학원,부산 부산진구 가야대로 639-1 2층 (가야동),,35.1559641,129.0417611,2024-09-30
러블렛,부산 부산진구 부전로 187 (부전동),,35.16382664,129.0611914,2024-09-30
탑(TOP LEE EUN JUNG),"부산 사상구 광장로 7 , 1층 1066호 1067호 (괘법동,르네시떼)",,35.16433176,128.9777197,2024-09-30
정관장 남항점,부산 영도구 남항로 37-1 1층 (남항동1가),,35.08883699,129.0406972,2024-09-30
로사(ROSA),"부산 사상구 광장로 7 르네관 2층 2233호 (괘법동,르네시떼)",,35.16433176,128.9777197,2024-09-30
에셀카페(Eshel cafe),"부산 부산진구 백양관문로 104 2층 1-1호 (당감동,국제백양아파트상가)",,35.16803327,129.0291816,2024-09-30
백호클럽축구,부산 동래구 온천천로337번길 12 2층 (낙민동),,35.19509919,129.0902036,2024-09-30
화장품도매센터(하단점),부산 사하구 하신중앙로 346 (하단동),,35.10555791,128.9679121,2024-09-30
씨유범내골점,"부산 부산진구 황령대로 1 (범천동,동서범천빌딩)",,35.14786424,129.0600181,2024-09-30
육일횟집,부산 동래구 온천장로125번길 69 1층 1호 2호 (온천동),,35.22400644,129.0821873,2024-09-30
명륜편한내과의원,부산 동래구 시실로24번길 5 2층 204호 (명륜동),,35.21640604,129.0864028,2024-09-30
양빠bar,부산 중구 광복로97번길 9 (동광동1가),,35.09952034,129.0352395,2024-09-30
필라테스with Tae ree,부산 남구 홍곡로 12 5층(감만동),,35.11601265,129.082006,2024-09-30
유라인,"부산 사상구 광장로 7 2층 2315,2316호(괘법동,르네시떼)",,35.16433176,128.9777197,2024-09-30
세인약국,"부산 사하구 낙동대로 248 1층 101호 (괴정동,우리메디칼)",,35.09958407,128.9898982,2024-09-30
또리 펫 푸드,부산 수영구 광안해변로255번길 32 1층 (민락동),,35.15653321,129.1212869,2024-09-30
우뚝,부산 해운대구 구남로 25 (중동),,35.16190368,129.1606668,2024-09-30
녹산중탕원,부산 사하구 제석로17번길 8 (하단동),,35.10398638,128.9705479,2024-09-30
새반송할인마트,부산 해운대구 윗반송로51번길 83-5 1078호(반송동),,35.23110271,129.1559293,2024-09-30
한사랑의원,부산 해운대구 대천로67번길 4 주공상가 202호(좌동),,35.17362801,129.1702965,2024-09-30
부산골프아카데미,부산 동구 중앙대로 538 6층 (범일동),,35.14124792,129.0569364,2024-09-30
진컬렉숀,부산 부산진구 부전1동 573-1서면지하상가H열28호,,35.16023088,129.0611007,2024-09-30
장미수예,"부산 동구 범일동 291남문시장1층동편30,185호",,35.13626088,129.0582325,2024-09-30
마리안느,"부산 연제구 거제천로 246 ,중앙빌딩 1-3호(연산동)",,35.19196571,129.083815,2024-09-30
헤라클레스미술학원,부산 동래구 명륜로 207 (명륜동),,35.21218443,129.0827331,2024-09-30
옵트안경원,부산 연제구 아시아드대로 84 (거제동),,35.19219116,129.0675889,2024-09-30
그루터기공방,부산 금정구 체육공원로 609 (두구동),,35.29504974,129.1113228,2024-09-30
그랑프리제과점,부산 동래구 충렬대로249번길 54 (수안동),,35.20375494,129.0869259,2024-09-30
엘리트문구,부산 부산진구 가야대로679번길 133 (당감동),,35.15600006,129.0396762,2024-09-30
리엔케이 화장품 부산범천지사,부산 부산진구 황령대로7번길 30 (범천동),,35.14914196,129.0602761,2024-09-30
칠암아나고,"부산 부산진구 부전2동 474-37,474-19(1층우측)",,35.15887507,129.0553426,2024-09-30
언광반점,부산 해운대구 우동1로38번길 20 1층(우동),,35.16561557,129.1589743,2024-09-30
만복상회,부산 해운대구 수영강변대로 626 반여농산물도매시장내 상가 139호(반여동),,35.21592863,129.1209289,2024-09-30
으뜸50 경성대점,부산 남구 용소로 10 지하1층(대연동),,35.13629954,129.100391,2024-09-30
칠드런미술학원,부산 연제구 아시아드대로 102 전체 2층(거제동),,35.19368235,129.0671472,2024-09-30
도매상회,부산 남구 홍곡로 21-4 (감만동),,35.11636846,129.0825373,2024-09-30
신금양사,부산 중구 광복로39번길 26 (신창동2가),,35.10149016,129.0293963,2024-09-30
정수학원,"부산 해운대구 좌동로 88 ,302호 (좌동,울트라타워)",,35.17196043,129.174949,2024-09-30
케이지씨화명지사,"부산 북구 화명신도시로 115 304호(화명동, 성문타워)",,35.23439845,129.010443,2024-09-30
한빛기사식당,부산 해운대구 재반로 35-1 1층 (재송동),,35.18189605,129.1263675,2024-09-30
새롬헤어,부산 서구 천마로 223 1층 (충무동2가),,35.09552916,129.0222692,2024-09-30
동회루,부산 남구 홍곡로 373 (대연동),,35.11755134,129.0853284,2024-09-30
