연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
170,2024-02-06 09:38,부산광역시 사하구 당리동 312-17,35.10569218 ,128.97444024 ,버스정류장 주변,Y,2025-12-01
171,2024-02-06 10:17,부산광역시 사하구 장림동 1095,35.07877765 ,128.95755514 ,교차로,Y,2025-12-01
172,2024-02-06 18:14,부산광역시 사하구 다대동 84-1,35.06750480 ,128.97971318 ,교차로,Y,2025-12-01
173,2024-02-06 16:12,부산광역시 사하구 하단동 483,35.11055691 ,128.96245971 ,교차로,Y,2025-12-01
174,2024-02-06 19:44,부산광역시 사하구 다대동 681-3,35.05511131 ,128.97159094 ,보도(인도)위,Y,2025-12-01
175,2024-02-06 16:00,부산광역시 사하구 괴정동 412-63,35.09925399 ,128.99804308 ,보도(인도)위,Y,2025-12-01
176,2024-02-06 19:15,부산광역시 사하구 다대동 1552-4,35.04845729 ,128.96626565 ,교차로,Y,2025-12-01
177,2024-02-06 18:30,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,횡단보도,Y,2025-12-01
178,2024-02-06 10:21,부산광역시 사하구 하단동 1188,35.09926206 ,128.95834202 ,소방시설 주변,Y,2025-12-01
179,2024-02-06 19:09,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
180,2024-02-06 13:22,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,교차로,Y,2025-12-01
181,2024-02-06 17:13,부산광역시 사하구 감천동 763-33,35.08439063 ,128.99785552 ,버스정류장 주변,Y,2025-12-01
182,2024-02-06 14:01,부산광역시 사하구 괴정동 546-15,35.09677910 ,128.98805104 ,교차로,Y,2025-12-01
183,2024-02-06 19:13,부산광역시 사하구 다대동 1552-4,35.04845729 ,128.96626565 ,교차로,Y,2025-12-01
184,2024-02-06 20:05,부산광역시 사하구 하단동 596-7,35.10587178 ,128.96319100 ,보도(인도)위,Y,2025-12-01
185,2024-02-06 12:58,부산광역시 사하구 하단동 493-1,35.11166242 ,128.96590509 ,교차로,Y,2025-12-01
186,2024-02-06 14:40,부산광역시 사하구 신평동 665,35.09383821 ,128.96031301 ,횡단보도,Y,2025-12-01
187,2024-02-06 17:20,부산광역시 사하구 장림동 333-2,35.08030397 ,128.97082760 ,소방시설 주변,Y,2025-12-01
188,2024-02-06 21:14,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
189,2024-02-06 22:29,부산광역시 사하구 장림동 1064 ,35.08364681 ,128.97816056 ,보도(인도)위,Y,2025-12-01
190,2024-02-06 11:54,부산광역시 사하구 하단동 589-19,35.10591481 ,128.96724494 ,보도(인도)위,Y,2025-12-01
191,2024-02-06 11:14,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,횡단보도,Y,2025-12-01
192,2024-02-06 20:09,부산광역시 사하구 괴정동 1295,35.09768249 ,128.98021504 ,교차로,Y,2025-12-01
193,2024-02-06 19:31,부산광역시 사하구 괴정동 663-2,35.09827854 ,128.98044657 ,횡단보도,Y,2025-12-01
194,2024-02-07 19:58,부산광역시 사하구 다대동 681-3,35.05511131 ,128.97159094 ,보도(인도)위,Y,2025-12-01
