관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
REL053,부동산,부산시 월별 용적률 데이터 결합월별 용적률 원시 데이터,X,X,X,X,X,202111~202411,23,격자 아이디 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률
REL054,부동산,부산시 월별 용적률 데이터 (LSTM적용)월별 및 예측 용적률 LSTM 결과,X,X,X,X,X,202207~202412,31,격자 아이디 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률 / 월별 용적률
REL055,부동산,격자 중심에서 도로까지 거리격자별 도로거리 데이터,X,X,X,X,X,202403~202403,2,격자 아이디 / 거리
REL056,부동산,"물류창고 위치 공간데이터창고업체 시설 정보 원시 데이터(상호명, 사업자번호, 소재지, 창고면적, 관련법률, ",X,X,X,X,X,202408~202408,22,상호명 / 사업자번호 / 소재지 / 일반창고면 / 냉동냉장창 / 보관장소면 / 타법률창고 / 관련법률 / 취급품목 / 입력주소 / X / Y / CLSS / PNU / 주소구분 / 표준신주소 / 표준구주소 / 우편번호 / 행정동코드 / 행정동명
REL057,부동산,격자 내 물류창고 수창고 수량 처리 데이터,X,X,X,X,X,202408~202408,2,격자 아이디 / 물류창고수
REL058,부동산,융합 데이터셋최종 융합데이터셋,X,X,X,X,X,202412~202412,12,격자 아이디 / 토지용도 / 물류창고수 / 24년 12월 예측 생활인구 / 24년 12월 예측 공시지가 / 24년 12월 예측 건폐율 / 24년 12월 예측 용적률 / 공항 거리지수 / 항만 거리지수 / 철도 거리지수 / 고속도로 거리지수 / 도로 거리지수
REL059,부동산,격자별 물류창고 입지 예측 데이터창고 입지 추천 결과 데이터,X,X,X,X,X,202412~202412,2,격자 아이디 / 입지 예측값
TOU001,관광,상권 기본정보 코드상권 기본 정보,X,X,O,O,O,201501~201512,27,ID / 행정구역코드 / 성별코드 / 소재지 도로명 / 소재지도로주건물번호 / 소재지도로부건물번호 / 도로빌딩시장상가명 / 소재지도로동명 / 소재지도로층명 / 소재지도로호명 / 소재지지번읍면동명 / 소재지지번리명 / 소재지지번번지명 / 소재지지번호명 / 소재지지번통명 / 소재지지번반명 / 소재지지번단지명 / 소재지지번블록명 / 소재지지번필지명 / 창설년도
TOU002,관광,관광지 방문객(성별·월)월별 관광지 방문객 데이터(성별별),X,X,X,O,O,202301~202404,5,기준년월 / 관광지코드 / 관광지명칭 / 방문자분류(성별) / 적재일자
TOU003,관광,관광지 방문객(연령대별·월)월별 관광지 방문객 데이터(연령대별),X,X,X,O,O,202301~202404,5,기준년월 / 관광지코드 / 관광지명칭 / 방문자분류 / 적재일자
